Episode: 9/1000, Reward: -595.9576123463564, Epsilon: 0.9558895783575597, Landed: False
Episode: 10/1000, Reward: -751.4691119953679, Epsilon: 0.9511101304657719, Landed: False
Episode: 11/1000, Reward: -758.3195751737604, Epsilon: 0.946354579813443, Landed: False
Episode: 12/1000, Reward: -405.4961320065801, Epsilon: 0.9416228069143757, Landed: False
Episode: 13/1000, Reward: -432.10957718600383, Epsilon: 0.9369146928798039, Landed: False
Episode: 14/1000, Reward: -439.98229513624625, Epsilon: 0.9322301194154049, Landed: False
Episode: 15/1000, Reward: -527.8581529031974, Epsilon: 0.9275689688183278, Landed: False
Episode: 16/1000, Reward: -245.28099637671502, Epsilon: 0.9229311239742362, Landed: False
Episode: 17/1000, Reward: -548.9399185370246, Epsilon: 0.918316468354365, Landed: False
Episode: 18/1000, Reward: -335.7090823259489, Epsilon: 0.9137248860125932, Landed: False
Episode: 19/1000, Reward: -508.7194892272564, Epsilon: 0.9091562615825302, Landed: False
Episode: 20/1000, Reward: -611.6592902759112, Epsilon: 0.9046104802746175, Landed: False
Episode: 21/1000, Reward: -489.049089860183, Epsilon: 0.9000874278732445, Landed: False
Episode: 22/1000, Reward: -401.2666338313136, Epsilon: 0.8955869907338783, Landed: False
Episode: 23/1000, Reward: -433.00575726912166, Epsilon: 0.8911090557802088, Landed: False
Episode: 24/1000, Reward: -267.075817939278, Epsilon: 0.8866535105013078, Landed: False
Episode: 25/1000, Reward: -790.0958296302726, Epsilon: 0.8822202429488013, Landed: True
Episode: 26/1000, Reward: -381.0389020430763, Epsilon: 0.8778091417340573, Landed: False
Episode: 27/1000, Reward: -524.0433843702797, Epsilon: 0.8734200960253871, Landed: False
Episode: 28/1000, Reward: -570.3321005633522, Epsilon: 0.8690529955452602, Landed: False
Episode: 29/1000, Reward: -691.4196688022812, Epsilon: 0.8647077305675338, Landed: False
Episode: 30/1000, Reward: -545.5417062158102, Epsilon: 0.8603841919146962, Landed: False
Episode: 31/1000, Reward: -434.03904794217834, Epsilon: 0.8560822709551227, Landed: False
Episode: 32/1000, Reward: -434.0572900765883, Epsilon: 0.851801859600347, Landed: False
Episode: 33/1000, Reward: -467.1111192240058, Epsilon: 0.8475428503023453, Landed: False
Episode: 34/1000, Reward: -305.28212951832705, Epsilon: 0.8433051360508336, Landed: False
Episode: 35/1000, Reward: -477.85050688936064, Epsilon: 0.8390886103705794, Landed: False
Episode: 36/1000, Reward: -308.7331470838168, Epsilon: 0.8348931673187264, Landed: False
Episode: 37/1000, Reward: -455.84330160600075, Epsilon: 0.8307187014821328, Landed: False
Episode: 38/1000, Reward: -493.3872272547423, Epsilon: 0.8265651079747222, Landed: False
Episode: 39/1000, Reward: -707.4750508256067, Epsilon: 0.8224322824348486, Landed: False
Episode: 40/1000, Reward: -299.45820902155646, Epsilon: 0.8183201210226743, Landed: False
Episode: 41/1000, Reward: -329.7704782494176, Epsilon: 0.8142285204175609, Landed: False
Episode: 42/1000, Reward: -388.8989436925431, Epsilon: 0.810157377815473, Landed: False
Episode: 43/1000, Reward: -1069.2619502565028, Epsilon: 0.8061065909263957, Landed: True
Episode: 44/1000, Reward: -378.58092709514244, Epsilon: 0.8020760579717637, Landed: False
Episode: 45/1000, Reward: -446.9493403411786, Epsilon: 0.798065677681905, Landed: False
Episode: 46/1000, Reward: -546.3903916856857, Epsilon: 0.7940753492934954, Landed: False
Episode: 47/1000, Reward: -491.7743086234966, Epsilon: 0.7901049725470279, Landed: False
Episode: 48/1000, Reward: -432.35446621289, Epsilon: 0.7861544476842928, Landed: False
Episode: 49/1000, Reward: -331.8737274032035, Epsilon: 0.7822236754458713, Landed: False
Episode: 50/1000, Reward: -671.8814774270518, Epsilon: 0.778312557068642, Landed: False
Episode: 51/1000, Reward: -509.0230821290248, Epsilon: 0.7744209942832988, Landed: False
Episode: 52/1000, Reward: -516.5926228476599, Epsilon: 0.7705488893118823, Landed: False
Episode: 53/1000, Reward: -535.5649484147215, Epsilon: 0.7666961448653229, Landed: False
Episode: 54/1000, Reward: -833.9593044915296, Epsilon: 0.7628626641409962, Landed: False
Episode: 55/1000, Reward: -525.124745010848, Epsilon: 0.7590483508202912, Landed: False
Episode: 56/1000, Reward: -569.0932590795148, Epsilon: 0.7552531090661897, Landed: False
Episode: 1/1000, Reward: -248.1474346809847, Epsilon: 0.995, Landed: False
Episode: 2/1000, Reward: -469.7590399733107, Epsilon: 0.990025, Landed: False
Episode: 3/1000, Reward: -568.2356296286843, Epsilon: 0.985074875, Landed: False
Episode: 4/1000, Reward: -312.0063314578252, Epsilon: 0.9801495006250001, Landed: False
Episode: 5/1000, Reward: -589.0412957207075, Epsilon: 0.9752487531218751, Landed: False
Episode: 6/1000, Reward: -368.2591703157809, Epsilon: 0.9703725093562657, Landed: False
Episode: 7/1000, Reward: -483.3189788264261, Epsilon: 0.9655206468094844, Landed: False
Episode: 8/1000, Reward: -632.8161856329918, Epsilon: 0.960693043575437, Landed: False
Episode: 9/1000, Reward: -411.71181193994846, Epsilon: 0.9558895783575597, Landed: False
Episode: 10/1000, Reward: -594.2071581764536, Epsilon: 0.9511101304657719, Landed: False
Episode: 11/1000, Reward: -784.3058399667533, Epsilon: 0.946354579813443, Landed: False
Episode: 12/1000, Reward: -698.8881258402264, Epsilon: 0.9416228069143757, Landed: False
Episode: 13/1000, Reward: -784.9496515083837, Epsilon: 0.9369146928798039, Landed: False
Episode: 14/1000, Reward: -474.1137491545141, Epsilon: 0.9322301194154049, Landed: False
Episode: 15/1000, Reward: -1201.2187996473099, Epsilon: 0.9275689688183278, Landed: True
Episode: 16/1000, Reward: -565.1666683214976, Epsilon: 0.9229311239742362, Landed: False
Episode: 17/1000, Reward: -513.5274835626819, Epsilon: 0.918316468354365, Landed: False
Episode: 18/1000, Reward: -447.2670670168696, Epsilon: 0.9137248860125932, Landed: False
Episode: 19/1000, Reward: -433.95463477883334, Epsilon: 0.9091562615825302, Landed: False
Episode: 20/1000, Reward: -342.7258189825049, Epsilon: 0.9046104802746175, Landed: False
Episode: 21/1000, Reward: -470.00343659671057, Epsilon: 0.9000874278732445, Landed: False
Episode: 22/1000, Reward: -475.7462131418188, Epsilon: 0.8955869907338783, Landed: False
Episode: 23/1000, Reward: -611.8474162180269, Epsilon: 0.8911090557802088, Landed: False
Episode: 24/1000, Reward: -657.1306220570534, Epsilon: 0.8866535105013078, Landed: False
Episode: 25/1000, Reward: -472.0070645380039, Epsilon: 0.8822202429488013, Landed: False
Episode: 26/1000, Reward: -567.2566215889785, Epsilon: 0.8778091417340573, Landed: False
Episode: 27/1000, Reward: -502.9907199722369, Epsilon: 0.8734200960253871, Landed: False
Episode: 28/1000, Reward: -702.6926172758164, Epsilon: 0.8690529955452602, Landed: False
Episode: 29/1000, Reward: -435.3561426384212, Epsilon: 0.8647077305675338, Landed: False
Episode: 30/1000, Reward: -672.3168425329782, Epsilon: 0.8603841919146962, Landed: False
Episode: 31/1000, Reward: -424.69313009821826, Epsilon: 0.8560822709551227, Landed: False
Episode: 32/1000, Reward: -467.4440243111194, Epsilon: 0.851801859600347, Landed: False
Episode: 33/1000, Reward: -454.2793784913516, Epsilon: 0.8475428503023453, Landed: False
Episode: 34/1000, Reward: -452.40010362233835, Epsilon: 0.8433051360508336, Landed: False
