Episode: 72/1000, Reward: -1049.6431206604866, Epsilon: 0.697046600835495, Landed: True
Episode: 73/1000, Reward: -720.6070595953281, Epsilon: 0.6935613678313175, Landed: False
Episode: 74/1000, Reward: -581.5474632606813, Epsilon: 0.6900935609921609, Landed: False
Episode: 75/1000, Reward: -594.6847828512186, Epsilon: 0.6866430931872001, Landed: False
Episode: 76/1000, Reward: -439.30565780466975, Epsilon: 0.6832098777212641, Landed: False
Episode: 77/1000, Reward: -657.9293893382335, Epsilon: 0.6797938283326578, Landed: False
Episode: 78/1000, Reward: -510.5480739014839, Epsilon: 0.6763948591909945, Landed: False
Episode: 79/1000, Reward: -232.25801526865564, Epsilon: 0.6730128848950395, Landed: False
Episode: 80/1000, Reward: -349.4961224478021, Epsilon: 0.6696478204705644, Landed: False
Episode: 81/1000, Reward: -483.43682849054323, Epsilon: 0.6662995813682115, Landed: False
Episode: 82/1000, Reward: -441.2793951668137, Epsilon: 0.6629680834613705, Landed: False
Episode: 83/1000, Reward: -506.2034922166342, Epsilon: 0.6596532430440636, Landed: False
Episode: 84/1000, Reward: -334.3990430922629, Epsilon: 0.6563549768288433, Landed: False
Episode: 85/1000, Reward: -503.3475559865087, Epsilon: 0.653073201944699, Landed: False
Episode: 86/1000, Reward: -338.10295667800256, Epsilon: 0.6498078359349755, Landed: False
Episode: 87/1000, Reward: -421.927484083604, Epsilon: 0.6465587967553006, Landed: False
Episode: 88/1000, Reward: -286.6031565518438, Epsilon: 0.6433260027715241, Landed: False
Episode: 89/1000, Reward: -434.32266874189366, Epsilon: 0.6401093727576664, Landed: False
Episode: 90/1000, Reward: -301.5969416077913, Epsilon: 0.6369088258938781, Landed: False
Episode: 91/1000, Reward: -427.5625313626391, Epsilon: 0.6337242817644086, Landed: False
Episode: 92/1000, Reward: -412.68163532118206, Epsilon: 0.6305556603555866, Landed: False
Episode: 93/1000, Reward: -445.62581362595006, Epsilon: 0.6274028820538087, Landed: False
Episode: 94/1000, Reward: -761.7488611807327, Epsilon: 0.6242658676435396, Landed: False
Episode: 95/1000, Reward: -709.768137094739, Epsilon: 0.6211445383053219, Landed: False
Episode: 96/1000, Reward: -538.6537287225715, Epsilon: 0.6180388156137953, Landed: False
Episode: 97/1000, Reward: -477.4158913147181, Epsilon: 0.6149486215357263, Landed: False
Episode: 98/1000, Reward: -463.2457593932293, Epsilon: 0.6118738784280476, Landed: False
Episode: 99/1000, Reward: -763.1648704477091, Epsilon: 0.6088145090359074, Landed: False
Episode: 100/1000, Reward: -430.07486693579403, Epsilon: 0.6057704364907278, Landed: False
